Bui Quoc Bao 28,bui.quoc.bao.28@student.sims.edu.vn,Test@123,student,BC0027,2005-12-12,0956029465,Other,Dong Nai
Ngo Thanh Phong 29,ngo.thanh.phong.29@student.sims.edu.vn,Test@123,student,BC0028,2007-01-24,0954638047,Other,Quang Ninh
Hoang Anh Tuan 30,hoang.anh.tuan.30@student.sims.edu.vn,Test@123,student,BC0029,2001-10-07,0908494067,Other,Hai Phong
Ngo Thanh Phong 31,ngo.thanh.phong.31@student.sims.edu.vn,Test@123,student,BC0030,2004-06-13,0951605471,Female,Hai Phong
Hoang Anh Tuan 32,hoang.anh.tuan.32@student.sims.edu.vn,Test@123,student,BC0031,2007-02-06,0928606343,Other,Dong Nai
Ngo Thanh Phong 33,ngo.thanh.phong.33@student.sims.edu.vn,Test@123,student,BC0032,2004-03-01,0954716212,Other,Can Tho
Tran Thi Binh 34,tran.thi.binh.34@student.sims.edu.vn,Test@123,student,BC0033,2004-12-14,0994863859,Other,Hai Phong
Vo Tuan Kiet 35,vo.tuan.kiet.35@student.sims.edu.vn,Test@123,student,BC0034,2004-10-30,0942727054,Male,Da Nang
Vo Tuan Kiet 36,vo.tuan.kiet.36@student.sims.edu.vn,Test@123,student,BC0035,2001-06-18,0959824196,Other,Da Nang
Le Hoang Minh 37,le.hoang.minh.37@student.sims.edu.vn,Test@123,student,BC0036,2005-05-10,0957436328,Female,Binh Duong
Hoang Anh Tuan 38,hoang.anh.tuan.38@student.sims.edu.vn,Test@123,student,BC0037,2005-12-05,0958528944,Male,Ho Chi Minh City
Bui Quoc Bao 39,bui.quoc.bao.39@student.sims.edu.vn,Test@123,student,BC0038,2004-05-30,0933926198,Male,Da Nang
Dang Thi Lan 40,dang.thi.lan.40@student.sims.edu.vn,Test@123,student,BC0039,2005-07-11,0929352976,Female,Can Tho
Nguyen Thanh Hung,nguyen.thanh.hung@sims.edu.vn,Test@123,lecturer,,1973-06-18,0922442976,Female,Da Nang
Tran Minh Chau,tran.minh.chau@sims.edu.vn,Test@123,lecturer,,1986-09-29,0994895664,Male,Can Tho
Le Quang Huy,le.quang.huy@sims.edu.vn,Test@123,lecturer,,2000-09-09,0993958460,Female,Can Tho
Pham Thi Mai,pham.thi.mai@sims.edu.vn,Test@123,lecturer,,1983-05-25,0959530180,Female,Can Tho
Vo Duc Long,vo.duc.long@sims.edu.vn,Test@123,lecturer,,1979-05-20,0906569817,Male,Ha Noi
Bui Ngoc Anh,bui.ngoc.anh@sims.edu.vn,Test@123,lecturer,,1968-12-13,0928784362,Female,Ho Chi Minh City
Dang Van Phuc,dang.van.phuc@sims.edu.vn,Test@123,lecturer,,1996-03-27,0922711503,Male,Ho Chi Minh City
Ho Thi Thao,ho.thi.thao@sims.edu.vn,Test@123,lecturer,,1987-08-23,0955461495,Male,Dong Nai
Nguyen Admin One,nguyen.admin.one@sims.edu.vn,Test@123,admin,,1996-03-13,0955646896,Female,Binh Duong
Tran Admin Two,tran.admin.two@sims.edu.vn,Test@123,admin,,1999-09-10,0906308255,Male,Hai Phong
